"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","BetValidator_Goals_ValidatedByGoalValidator","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","BetValidatorTests","BetValidator_Goals_ValidatedByGoalValidator"
"","1","MatchValidator_ShouldFail_NeitherTeamOrAlternativeTextIsSet","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","MatchValidatorTests","MatchValidator_ShouldFail_NeitherTeamOrAlternativeTextIsSet"
"","0","GoalValidator_ShouldPass_WhenGoalsReasonable(10)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldPass_WhenGoalsReasonable"
"","7","GoalValidator_ShouldFail_WhenGoalsUnreasonable(-1)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldFail_WhenGoalsUnreasonable"
"","11","Compare_EqualItems_ReturnsEqual","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","CommunityComparerTests","Compare_EqualItems_ReturnsEqual"
"","0","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable("""")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","6","MatchValidator_Goals_ValidatedByGoalValidator","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","MatchValidatorTests","MatchValidator_Goals_ValidatedByGoalValidator"
"","1","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable(""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","2","Compare_FirstItemAveragePointsHigher_ReturnsValueOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","CommunityComparerTests","Compare_FirstItemAveragePointsHigher_ReturnsValueOne"
"","0","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable(""ab"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","0","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable(null)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","1","Compare_FirstItemTotalPointsHigher_ReturnsValueOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","CommunityComparerTests","Compare_FirstItemTotalPointsHigher_ReturnsValueOne"
"","0","GoalValidator_ShouldFail_WhenGoalsUnreasonable(999)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldFail_WhenGoalsUnreasonable"
"","7","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable("""")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","0","Compare_FirstItemAveragePointsHigher_ReturnsValueOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","GroupRankingComparerTests","Compare_FirstItemAveragePointsHigher_ReturnsValueOne"
"","1","UsernameValidator_ShouldFail_WhenGivenNameIsAlreadyUsed","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldFail_WhenGivenNameIsAlreadyUsed"
"","0","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable(""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","UsernameValidatorTests","UsernameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","0","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable(""ab"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","0","Compare_FirstItemAverageStackRankHigher_ReturnsValueOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","GroupRankingComparerTests","Compare_FirstItemAverageStackRankHigher_ReturnsValueOne"
"","1","CommunityNameValidator_ShouldPass_WhenGivenNameReasonable(""abc"")","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldPass_WhenGivenNameReasonable"
"","1","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable(null)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","CommunityNameValidatorTests","CommunityNameValidator_ShouldFail_WhenGivenNameUnreasonable"
"","1","MatchValidator_ShouldPass_ValidMatchObjectIsValid","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","MatchValidatorTests","MatchValidator_ShouldPass_ValidMatchObjectIsValid"
"","1","GoalValidator_ShouldFail_WhenGoalsUnreasonable(100)","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","GoalValidatorTests","GoalValidator_ShouldFail_WhenGoalsUnreasonable"
"","0","Compare_FirstItemGoalDifferenceHigher_ReturnsValueOne","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","GroupRankingComparerTests","Compare_FirstItemGoalDifferenceHigher_ReturnsValueOne"
"","5","SortDescendingAndSetRanks_NonEqualItems_SortedWithIncreasingRanks","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","RankingHelperTests","SortDescendingAndSetRanks_NonEqualItems_SortedWithIncreasingRanks"
"","2","Compare_EqualItems_ReturnsEqual","","Sun Aug 03 21:00:36 GMT 2025","passed","Sun Aug 03 21:00:36 GMT 2025","","","GroupRankingComparerTests","Compare_EqualItems_ReturnsEqual"
"","14","MatchValidator_ShouldFail_MatchIsOverButHasFutureDate","","Sun Aug 03 21:00:37 GMT 2025","passed","Sun Aug 03 21:00:37 GMT 2025","","","MatchValidatorTests","MatchValidator_ShouldFail_MatchIsOverButHasFutureDate"
